phen_name	herb_name
Parkinson Disease	Tomophagus cattienensis
Parkinson Disease	Hypericum polyanthemum
Parkinson Disease	Bupleurum
Parkinson Disease	Astilbe thunbergii
Parkinson Disease	Engelhardia roxburghiana
Parkinson Disease	Smilax corbularia
Parkinson Disease	Erythroxylum gonoclados
Parkinson Disease	Salvia
Parkinson Disease	Eplingiella fruticosa
Parkinson Disease	Russula katarinae
Mild cognitive disorder	Panax ginseng
Mild cognitive disorder	Gossypium hirsutum
Mild cognitive disorder	Cortinarius caesiocinctus
Mild cognitive disorder	Inocybe floccosibrunnea
Mild cognitive disorder	Nicotiana tabacum
Mild cognitive disorder	Tricholoma bryogenum
Mild cognitive disorder	Fomitiporia expansa
Mild cognitive disorder	Ginkgo biloba
Mild cognitive disorder	Hypericum perforatum
Mild cognitive disorder	Centella asiatica
Mild cognitive disorder	Piper methysticum
Mild cognitive disorder	Solanum lycopersicum
Mild cognitive disorder	Cannabis
Mild cognitive disorder	Crocus sativus
Mild cognitive disorder	Cannabis sativa
Mild cognitive disorder	Inocybe grammatoides
Mild cognitive disorder	Paeonia
Mild cognitive disorder	Boletus pinetorum
Mild cognitive disorder	Haematococcus lacustris
Mild cognitive disorder	Lathyrus sativus
Mild cognitive disorder	Vaccinium corymbosum
Mild cognitive disorder	Cortinarius coracis
Mild cognitive disorder	Mentha x piperita
Mild cognitive disorder	Cananga odorata
Mild cognitive disorder	Camellia sinensis
Mild cognitive disorder	Pluteus multiformis
Mild cognitive disorder	Zea mays
Mild cognitive disorder	Isoetes shangrilaensis
Mild cognitive disorder	Urtica dioica
Mild cognitive disorder	Hericium erinaceus
Mild cognitive disorder	Bikinia letestui
Mild cognitive disorder	Mentha
Mild cognitive disorder	Theobroma cacao
Mild cognitive disorder	Vitis labrusca
Mild cognitive disorder	Deamia montalvoae
Mild cognitive disorder	Pennellia yalaensis
Mild cognitive disorder	Phyllostachys vivax
Mild cognitive disorder	Acer
Mild cognitive disorder	Cortinarius vesterholtii
Mild cognitive disorder	Coffea
Mild cognitive disorder	Pithecellobium dulce
Mild cognitive disorder	Glia
Mild cognitive disorder	Oncophorus integerrimus
Mild cognitive disorder	Lycium chinense
Mild cognitive disorder	Pseudotricholoma metapodium
Mild cognitive disorder	Zingiber zerumbet
Mild cognitive disorder	Cortinarius talimultiformis
Mild cognitive disorder	Cissampelos pareira
Mild cognitive disorder	Anethum graveolens
Mild cognitive disorder	Capsicum annuum
Mild cognitive disorder	Withania somnifera
Mild cognitive disorder	Russula siamensis
Mild cognitive disorder	Zingiber officinale
Mild cognitive disorder	Oryza sativa
Mild cognitive disorder	Ficus religiosa
Mild cognitive disorder	Cortinarius ceskae
Mild cognitive disorder	Vicia faba
Mild cognitive disorder	Lactarius rubrobrunneus
Mild cognitive disorder	Boletus pseudopinophilus
Mild cognitive disorder	Campanula rotata
Mild cognitive disorder	Moringa oleifera
Mild cognitive disorder	Marasmius calvocystidiatus
Mild cognitive disorder	Bacopa monnieri
Mild cognitive disorder	Sinningia bragae
Mild cognitive disorder	Mangifera indica
Mild cognitive disorder	Salvia
Mild cognitive disorder	Salvia officinalis
Mild cognitive disorder	Avena sativa
Mild cognitive disorder	Chione
Mild cognitive disorder	Cuscuta
Mild cognitive disorder	Inga
Mild cognitive disorder	Manihot esculenta
Mild cognitive disorder	Citrus sinensis
Mild cognitive disorder	Punica granatum
Mild cognitive disorder	Selaginella plana
Mild cognitive disorder	Ganoderma lingzhi
Mild cognitive disorder	Rhabdosciadium anatolyi
Mild cognitive disorder	Vitis vinifera
Mild cognitive disorder	Inosperma lanatodiscum
Mild cognitive disorder	Lessertia frutescens
Mild cognitive disorder	Brassica napus
Mild cognitive disorder	Brassica oleracea
Mild cognitive disorder	Brassica carinata
Mild cognitive disorder	Brassica rapa
Mild cognitive disorder	Epimedium brevicornu
Mild cognitive disorder	Tambourissa tau
Mild cognitive disorder	Caryota no
Mild cognitive disorder	Capparis spinosa
Mild cognitive disorder	Ekimia ozcan-secmenii
Mild cognitive disorder	Ziziphus
Mild cognitive disorder	Crocus
Mild cognitive disorder	Pleurotus ostreatus
Mild cognitive disorder	Podoscypha parvula
Mild cognitive disorder	Cuviera semseii
Mild cognitive disorder	Juglans
Mild cognitive disorder	Tomophagus cattienensis
Mild cognitive disorder	Cyperus rotundus
Mild cognitive disorder	Portulaca oleracea
Mild cognitive disorder	Fragaria x ananassa
Mild cognitive disorder	Ganoderma ecuadoriense
Mild cognitive disorder	Ligusticum tenuissimum
Mild cognitive disorder	Greenwayodendron usambaricum
Mild cognitive disorder	Cortinarius claroplaniusculus
Mild cognitive disorder	Laurus nobilis
Mild cognitive disorder	Litchi chinensis
Mild cognitive disorder	Terminalia chebula
Mild cognitive disorder	Hibiscus sabdariffa
Mild cognitive disorder	Aria
Mild cognitive disorder	Huperzia serrata
Mild cognitive disorder	Schizolobium parahyba
Mild cognitive disorder	Inocybe favrei
Mild cognitive disorder	Aa
Mild cognitive disorder	Solanum
Mild cognitive disorder	Solanum nigrum
Mild cognitive disorder	Solanum macrocarpon
Mild cognitive disorder	Sesbania grandiflora
Mild cognitive disorder	Ipomoea batatas
Mild cognitive disorder	Dendrobium
Mild cognitive disorder	Ocimum gratissimum
Mild cognitive disorder	Rhodiola
Mild cognitive disorder	Cinnamomum verum
Mild cognitive disorder	Syzygium aromaticum
Aphasia	Mauremys reevesii
Forgetful	Eleutherococcus senticosus
Forgetful	Nigella damascena
Forgetful	Glycyrrhiza uralensis
Forgetful	Glycyrrhiza glabra
Forgetful	Glycyrrhiza inflata
Forgetful	Glycyrrhiza pallidiflora
Forgetful	Wolfiporia cocos
Forgetful	Radix
Forgetful	Ganoderma lucidum
Forgetful	Ganoderma sinense
Forgetful	Ganoderma japonicum
Forgetful	Panax ginseng
Forgetful	Lespedeza cuneata
Forgetful	Lespedeza davurica
Forgetful	Phytolacca acinosa
Forgetful	Polygala tenuifolia
Forgetful	Cervus nippon
Forgetful	Tor
Forgetful	Nigella
Forgetful	Ala
Forgetful	Polygala
Forgetful	Oncophorus integerrimus
Forgetful	Kraftionema allantoideum
Forgetful	Polygala tenuifolia
Forgetful	Wolfiporia cocos
Forgetful	Nicotiana tabacum
Forgetful	Cistanche tubulosa
Forgetful	Tomophagus cattienensis
Forgetful	Polygala
Forgetful	Poria
Forgetful	Peganum harmala
Forgetful	Tabernaemontana divaricata
Tremor	Styphnolobium japonicum
Tremor	Apium graveolens
Tremor	Tor
Tremor	Podoscypha parvula
Tremor	Cortinarius talimultiformis
Tremor	Boletus pinetorum
Tremor	Echinochaete maximipora
Tremor	Suillus marginielevatus
Tremor	Conium maculatum
Tremor	Cannabis sativa
Tremor	Arachis hypogaea
Tremor	Russula siamensis
Tremor	Prunus mume
Tremor	Olea
Tremor	Phytolacca americana
Tremor	Sorghum bicolor
Tremor	Cortinarius chrysomallus
Tremor	Leucoagaricus croceobasis
Tremor	Cicuta douglasii
Tremor	Cannabis
Tremor	Macadamia
Tremor	Panax ginseng
Tremor	Sesamum indicum
Tremor	Tricholoma bryogenum
Tremor	Swietenia
Tremor	Chenopodium album
Tremor	Matricaria chamomilla
Tremor	Polygala
